%  Acceleration     Cylinders      Displacement     Horsepower          MPG           Weight 
   1.2000000e+01   8.0000000e+00   3.0700000e+02   1.3000000e+02   1.8000000e+01   3.5040000e+03
   1.1500000e+01   8.0000000e+00   3.5000000e+02   1.6500000e+02   1.5000000e+01   3.6930000e+03
   1.1000000e+01   8.0000000e+00   3.1800000e+02   1.5000000e+02   1.8000000e+01   3.4360000e+03
   1.2000000e+01   8.0000000e+00   3.0400000e+02   1.5000000e+02   1.6000000e+01   3.4330000e+03
   1.0500000e+01   8.0000000e+00   3.0200000e+02   1.4000000e+02   1.7000000e+01   3.4490000e+03
   1.0000000e+01   8.0000000e+00   4.2900000e+02   1.9800000e+02   1.5000000e+01   4.3410000e+03
   9.0000000e+00   8.0000000e+00   4.5400000e+02   2.2000000e+02   1.4000000e+01   4.3540000e+03
   8.5000000e+00   8.0000000e+00   4.4000000e+02   2.1500000e+02   1.4000000e+01   4.3120000e+03
   1.0000000e+01   8.0000000e+00   4.5500000e+02   2.2500000e+02   1.4000000e+01   4.4250000e+03
   8.5000000e+00   8.0000000e+00   3.9000000e+02   1.9000000e+02   1.5000000e+01   3.8500000e+03
   1.7500000e+01   4.0000000e+00   1.3300000e+02   1.1500000e+02             NaN   3.0900000e+03
   1.1500000e+01   8.0000000e+00   3.5000000e+02   1.6500000e+02             NaN   4.1420000e+03
   1.1000000e+01   8.0000000e+00   3.5100000e+02   1.5300000e+02             NaN   4.0340000e+03
   1.0500000e+01   8.0000000e+00   3.8300000e+02   1.7500000e+02             NaN   4.1660000e+03
   1.1000000e+01   8.0000000e+00   3.6000000e+02   1.7500000e+02             NaN   3.8500000e+03
   1.0000000e+01   8.0000000e+00   3.8300000e+02   1.7000000e+02   1.5000000e+01   3.5630000e+03
   8.0000000e+00   8.0000000e+00   3.4000000e+02   1.6000000e+02   1.4000000e+01   3.6090000e+03
   8.0000000e+00   8.0000000e+00   3.0200000e+02   1.4000000e+02             NaN   3.3530000e+03
   9.5000000e+00   8.0000000e+00   4.0000000e+02   1.5000000e+02   1.5000000e+01   3.7610000e+03
